T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
392,Japan,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"14,489",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,126",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"11,058",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,203",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"15,767",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,747",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,662",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.58,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.87,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
392,Japan,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
