T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
508,Mozambique,2015,Net official development assistance received: Multilateral (millions of US dollars),509,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2020,Net official development assistance received: Multilateral (millions of US dollars),796,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2021,Net official development assistance received: Multilateral (millions of US dollars),612,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2022,Net official development assistance received: Multilateral (millions of US dollars),800,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1985,Net official development assistance received: Total (millions of US dollars),296,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1995,Net official development assistance received: Total (millions of US dollars),"1,063",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2005,Net official development assistance received: Total (millions of US dollars),"1,290",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2010,Net official development assistance received: Total (millions of US dollars),"1,943",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2015,Net official development assistance received: Total (millions of US dollars),"1,819",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2020,Net official development assistance received: Total (millions of US dollars),"2,556",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2021,Net official development assistance received: Total (millions of US dollars),"2,283",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2022,Net official development assistance received: Total (millions of US dollars),"2,572",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1995,Net official development assistance received: Total (as % GNI),38.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2005,Net official development assistance received: Total (as % GNI),15.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2010,Net official development assistance received: Total (as % GNI),18.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2015,Net official development assistance received: Total (as % GNI),11.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2020,Net official development assistance received: Total (as % GNI),18.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2021,Net official development assistance received: Total (as % GNI),14.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,1985,Net official development assistance received: Bilateral  (millions of US dollars),205,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,1995,Net official development assistance received: Bilateral  (millions of US dollars),119,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,2005,Net official development assistance received: Bilateral  (millions of US dollars),34,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,2010,Net official development assistance received: Bilateral  (millions of US dollars),212,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,2015,Net official development assistance received: Bilateral  (millions of US dollars),927,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,2020,Net official development assistance received: Bilateral  (millions of US dollars),"2,399",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
104,Myanmar,2021,Net official development assistance received: Bilateral  (millions of US dollars),"1,238",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
