T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
533,Aruba,2021,Balance of Payments: Capital account (millions of US dollars),16,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2022,Balance of Payments: Capital account (millions of US dollars),-9,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,1995,Balance of Payments: Financial account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2010,Balance of Payments: Financial account (millions of US dollars),-446,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2015,Balance of Payments: Financial account (millions of US dollars),116,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2021,Balance of Payments: Financial account (millions of US dollars),85,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
533,Aruba,2022,Balance of Payments: Financial account (millions of US dollars),182,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,1995,Balance of Payments: Current account (millions of US dollars),"-18,669",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2010,Balance of Payments: Current account (millions of US dollars),"-45,891",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2015,Balance of Payments: Current account (millions of US dollars),"-57,147",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2021,Balance of Payments: Current account (millions of US dollars),"49,092",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2022,Balance of Payments: Current account (millions of US dollars),"17,741",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2023,Balance of Payments: Current account (millions of US dollars),"21,384",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,1995,Balance of Payments: Capital account (millions of US dollars),-300,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2010,Balance of Payments: Capital account (millions of US dollars),-287,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2015,Balance of Payments: Capital account (millions of US dollars),-456,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2021,Balance of Payments: Capital account (millions of US dollars),-492,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2022,Balance of Payments: Capital account (millions of US dollars),-576,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2023,Balance of Payments: Capital account (millions of US dollars),-536,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,1995,Balance of Payments: Financial account (millions of US dollars),"-18,866",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2010,Balance of Payments: Financial account (millions of US dollars),"-45,128",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2015,Balance of Payments: Financial account (millions of US dollars),"-67,334",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2021,Balance of Payments: Financial account (millions of US dollars),"43,839",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2022,Balance of Payments: Financial account (millions of US dollars),"17,084",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
36,Australia,2023,Balance of Payments: Financial account (millions of US dollars),"22,265",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2010,Balance of Payments: Current account (millions of US dollars),"11,472",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2015,Balance of Payments: Current account (millions of US dollars),"6,634",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2021,Balance of Payments: Current account (millions of US dollars),"7,770",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2022,Balance of Payments: Current account (millions of US dollars),"-1,290",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2023,Balance of Payments: Current account (millions of US dollars),"13,686",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2010,Balance of Payments: Capital account (millions of US dollars),268,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2015,Balance of Payments: Capital account (millions of US dollars),"-1,988",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2021,Balance of Payments: Capital account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2022,Balance of Payments: Capital account (millions of US dollars),587,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2023,Balance of Payments: Capital account (millions of US dollars),591,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2010,Balance of Payments: Financial account (millions of US dollars),"4,753",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2015,Balance of Payments: Financial account (millions of US dollars),"4,493",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2021,Balance of Payments: Financial account (millions of US dollars),"4,536",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2022,Balance of Payments: Financial account (millions of US dollars),"-9,387",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
40,Austria,2023,Balance of Payments: Financial account (millions of US dollars),"6,130",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,1995,Balance of Payments: Current account (millions of US dollars),-401,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2010,Balance of Payments: Current account (millions of US dollars),"15,040",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2015,Balance of Payments: Current account (millions of US dollars),-223,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2021,Balance of Payments: Current account (millions of US dollars),"8,203",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2022,Balance of Payments: Current account (millions of US dollars),"23,478",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2023,Balance of Payments: Current account (millions of US dollars),"8,329",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,1995,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2010,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2015,Balance of Payments: Capital account (millions of US dollars),-44,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
31,Azerbaijan,2021,Balance of Payments: Capital account (millions of US dollars),-4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
